文件名,索引号,主题分类,发文机关,成文日期,发布日期,发文字号,标题,来源,公文种类,内容
我国建立人体捐献器官转运绿色通道.docx,,,,,2016-05-06,,,新华社,,我国建立人体捐献器官转运绿色通道 2016-05-06 14:49 来源： 新华社 字号：默认 大 超大|打印| 新华社北京5月6日电（记者 胡浩）国家卫生计生委等多部门6日联合印发《关于建立人体捐献器官转运绿色通道的通知》，希望通过建立绿色通道，确保捐献人体器官转运流程的通畅，将因器官转运环节对器官移植患者的质量安全影响减少到最低程度。 通知明确，建立人体捐献器官转运绿色通道的协调机制，设立器官转运绿色通道24小时应急电话，各部门通力合作，卫生计生行政部门负责制定人体捐献器官运输技术规范与标准，统一移植中心器官接收确认文件。公安部门负责依法保障运送人体捐献器官的救护车优先通行。交通运输部门负责保障便捷、快速通过收费公路收费站。民航部门负责保障运送人体捐献器官的人员优先安检、快速登机，协调承运人体捐献器官的航班班次，遇拥堵或流量控制时优先放行。铁路部门负责保障火车站安检快速过检、乘车，协调列车车次，必要时登车后补票。红十字会负责协助人体捐献器官运输，提供人体器官运输专用标志。 通知将器官转运分为一般流程及应急流程，转运过程中根据实际情况启动不同流程，实现人体捐献器官转运的快速通关与优先承运，提高转运效率，保障转运安全，减少因运输原因造成的器官浪费。 专家介绍，器官移植得以顺利实施的重要前提是由捐献者捐献的可供移植的器官。可移植器官的运输是一场生命与时间的赛跑。受制于现在的医学技术，可移植器官均有可以耐受的最大缺血时间，例如肝脏耐受冷缺血时间上限为12小时，超过此时间受者的原发性移植肝无功能、移植肝功能延迟恢复、胆道缺血性损伤等并发症发生率显著增高，受者术后生存率明显降低。 目前，我国年捐献器官数量已位居亚洲第1位、世界第3位。截至2016年5月5日，全国累计实现公民逝世后器官捐献7101例，捐献大器官19417个。其中，2015年完成捐献2766例，捐献大器官7785个。
截至7月中旬我国已完成器官捐献1.8万余例 捐献器官5万余个.docx,,,,,2018-08-03,,,新华社,,截至7月中旬我国已完成器官捐献1.8万余例 捐献器官5万余个 2018-08-03 17:08 来源： 新华社 字号：默认 大 超大|打印| 新华社成都8月3日电（记者 董小红、王宾）记者3日从在成都召开的2018中国器官移植大会暨第五届中国器官移植医师年会上获悉，截至今年7月中旬，我国已实现器官捐献18433例，捐献器官52213个。 中国医师协会副会长郑树森说，近年来，我国器官捐献工作进展很快，在当今精准医疗时代，急需推动器官移植事业发展，助力健康中国建设。 “希望国家进一步完善对于器官移植患者的大病救助制度，减轻患者负担。”中国人体器官捐献与移植委员会主任委员黄洁夫说，目前，我国器官移植事业发展还面临一些挑战，肝脏、肾脏等器官移植手术需要十几万到几十万的手术费，患者面临较重的经济负担。国家应完善基本医疗相关保障，推动更好保障人民健康权益。 “希望更多人能够参与这项伟大的事业，让大爱延续下去。”四川大学华西医院器官移植中心主任杨家印说，四川省每年等待器官移植的患者有10多万人，而能够获得移植的仅有几百人，供需缺口很大。下一步，还需要政府、社会、公众等多方协同，共同推广宣传器官捐献的意义，让更多生命得到延续。 据悉，中国器官移植大会是我国器官移植领域最高级别的全国性会议之一，旨在推动我国器官移植学科发展，致力于器官移植高层次人才培养，加强器官移植大数据分析和临床研究。
新华全媒+丨生命礼赞——清明前夕走进遗体和器官捐献者纪念园.docx,,,,,2024-04-03,,,新华网,,新华全媒+丨生命礼赞——清明前夕走进遗体和器官捐献者纪念园 2024-04-03 17:02:18　来源： 新华网 字体： 小 中 大 分享到： 新华社福州4月3日电 题：生命礼赞——清明前夕走进遗体和器官捐献者纪念园 新华社记者周义 “我死后，我的遗体捐给医学院，献身医学教育，希望你们尊重我的心愿。”这是93岁老人商铮生前对家人的叮嘱。2023年2月8日，商铮在病房逝世，5天后，家人通过厦门市红十字会将他的遗体捐献给厦门医学院，他的名字也被永远镌刻在海沧文圃山厦门市遗体和器官捐献者纪念园的纪念碑上。 清明前夕，纪念园内鲜花簇拥，翠柏含肃。一杯清茶，几盘点心，缅怀逝者的亲属一边擦拭石碑一边低声倾诉思念。陆陆续续，一些身穿素衣的医学生、市民手持菊花来到园区，瞻仰碑文，将手中的鲜花敬献在纪念碑前。 在海沧文圃山厦门市遗体和器官捐献者纪念园，家属、医学生等人群向遗体和器官捐献者献花。新华社记者 周义 摄 “他干了一辈子医学工作，还想最后做点事。”商铮的儿子商涛一大早带着妻子儿女来到纪念园祭扫，提到父亲，他眼眶泛红。 “父亲毕业后从事生理学研究，在医药研究所工作一段时间后，在厦门卫校干到退休。”商涛回忆，20世纪70年代，厦门卫生学校刚刚复办，教学资源匮乏，有老师向商铮反映，学校解剖室里遗体不足，医学教学受阻，商铮开始重视遗体的来源和收集工作。从那时开始，他就有了捐献遗体的想法。 后来，商铮反复提醒家人要为他捐献遗体，直到生命的最后一刻。“父亲还有一个心愿，就是捐出他生前的工资及部分财产，用作医学院的奖学金，他说，从医学来，回到医学去，这辈子也算值了。”商涛告诉记者，在父亲捐献遗体后，厦门医学院为他举行了告别仪式，从校门口到活动室，一路上站满了为他送行的师生。 “商铮”成为了纪念碑上575个名字中的一个。“厦门市红十字会于2009年在文圃山恩泽园内修建了这座厦门市遗体和器官捐献者纪念园，并于每年清明前后举办纪念活动，邀请家属和群众参加，以此缅怀这些大爱无私的捐献者。”厦门市红十字会工作人员阮雷说。记者注意到，纪念碑上记录的捐献者最早捐献时间是在2007年，而最近的就在今年2月份。 “我们也希望有人替他去看看这个世界，让他以另外一种方式留下来。”器官捐献者家属吴立建说。今年2月14日，吴立建10岁的儿子因意外离世，悲痛万分的夫妻俩决定将儿子的器官和组织全部捐献，让孩子生命的意义延续下去。最终，5个人器官配型成功，有了活下去的希望。 清明节前，吴立建和妻子在纪念碑前摆上了孩子最喜欢的玩具和零食，轻抚石碑上孩子的名字，说了一句：“爸爸妈妈爱你，爸爸妈妈永远为你骄傲。” 这是在海沧文圃山厦门市遗体和器官捐献者纪念园拍摄的敬献在遗体和器官捐献者纪念碑前的鲜花。新华社记者 周义 摄 截至目前，厦门累计遗体捐献365例，眼角膜捐献356例，器官捐献162例（捐献大器官519个），越来越多人了解到遗体和器官捐献的意义。在遗体和器官捐献者纪念碑上，有一个人名后面特地留了两个名字的空位。记者得知，这是一个家庭的一个成员已经捐献了遗体，他的家人也选择跟随他的步伐。 “清明雨落，人心愁思。向遗体和器官捐献者致以崇高的敬意，向捐献者家属表示诚挚的慰问。”清明节前，来自厦门市红十字会的一则短信被发往每位捐献者家属的手机上。
昆明举行缅怀人体器官捐献纪念活动.docx,,,,,,,,,,昆明举行缅怀人体器官捐献纪念活动 字体： 小 中 大 分享到： 近日，由昆明市红十字会主办的“生命•礼赞”昆明市2024年清明缅怀人体器官捐献纪念活动在昆明市人体器官遗体捐献纪念园举行。活动旨在缅怀追思为医学科学事业和人类文明进步作出贡献的人体器官（遗体）捐献者，向社会宣导人体器官（遗体）捐献理念，倡导社会新风尚。 活动现场（4月12日摄）。供图 昆明市人体器官遗体捐献纪念园（4月12日摄）。供图 活动现场，参加活动的全体人员肃立诵读缅怀祭词，表达对捐献者无私奉献精神的崇高敬意与深切缅怀。火炬点燃，象征着捐献精神永恒燃烧；向纪念碑敬献鲜花，表达对捐献者的敬意与怀念之情。 活动现场（4月12日摄）。供图 昆明市红十字会党组书记、常务副会长寸东表示，人体器官捐献工作是一项挽救垂危生命、服务医学发展的高尚事业，参与、推动人体器官捐献工作是红十字会的重要职责。近年来，昆明市人体器官捐献的成功案例数、志愿者的登记数以及公众对这一事业的认知和参与热情均呈现逐年上升的态势。 截至2024年3月15日，昆明地区历年累计完成器官捐献489例，其中大器官1632个，眼角膜803枚，占云南省器官捐献总数的80%以上。（完） 【责任编辑:杨桢宇】
李强主持召开国务院常务会议 审议通过《国务院关于取消和调整一批罚款事项的决定》和《人体器官捐献和移植条例（修订草案）》.docx,,,,,2023-10-20,,,新华社,,"李强主持召开国务院常务会议 审议通过《国务院关于取消和调整一批罚款事项的决定》和《人体器官捐献和移植条例（修订草案）》 2023-10-20 20:33 来源： 新华社 字号：默认 大 超大|打印| 李强主持召开国务院常务会议
审议通过《国务院关于取消和调整一批罚款事项的决定》和《人体器官捐献和移植条例（修订草案）》 新华社北京10月20日电 国务院总理李强10月20日主持召开国务院常务会议，审议通过《国务院关于取消和调整一批罚款事项的决定》和《人体器官捐献和移植条例（修订草案）》。 会议指出，严格规范处罚事项和罚款标准，是优化营商环境、降低经营成本的重要举措。要持续压减罚款事项，对违反法定权限、不适应经济社会发展需要、可采取其他方式规范管理的罚款事项做到应减尽减。要严格规范行政处罚自由裁量权，加大对乱罚款的整治力度，完善协同治理和联合惩戒机制，严肃查处以罚代管、过罚失当等行为，加大向社会曝光力度，防止各类惠企政策效果被削弱或抵消。要着力加强事中事后监管，完善监管方法，规范监管程序，提升监管效能，切实加强安全生产、生命健康、产品质量等重点领域的监管工作，为推动高质量发展提供有力支撑。根据会议审议，本次拟一揽子取消和调整行政法规、部门规章中的33个罚款事项。 会议强调，人体器官捐献和移植是人间大爱善行，关系人民群众生命健康，关系生命伦理和社会公平，是国家医学发展和社会文明进步的重要标志。要坚持人民至上、生命至上，进一步规范人体器官捐献和移植，保证医疗质量，保障人体健康，维护公民合法权益。要以此次条例修订为契机，强化法治保障，建立全流程追溯和监管机制，加强器官捐献工作体系建设，强化器官获取的伦理审查，依法打击查处涉器官违法犯罪行为，更好保障器官捐献和移植事业健康发展。 会议还研究了其他事项。"
李强签署国务院令 公布《人体器官捐献和移植条例》.docx,,,,,2023-12-14,,,新华社,,"李强签署国务院令 公布《人体器官捐献和移植条例》 2023-12-14 10:04 来源： 新华社 字号：默认 大 超大|打印| 李强签署国务院令
公布《人体器官捐献和移植条例》 新华社北京12月14日电 国务院总理李强日前签署国务院令，公布《人体器官捐献和移植条例》，自2024年5月1日起施行。 人体器官捐献和移植是人间大爱善行，关系人民群众生命健康，关系生命伦理和社会公平，是国家医学发展和社会文明进步的重要标志。2007年颁布施行的《人体器官移植条例》，对促进器官捐献和移植事业发展发挥了重要作用。近年来，器官捐献和移植工作面临一些新情况、新形势，为了更好地保障器官捐献和移植事业健康发展，在总结实践经验的基础上，对《人体器官移植条例》进行了修订。 一是强化对器官捐献的宣传引导，进一步推动器官捐献工作。将条例名称改为《人体器官捐献和移植条例》，进一步凸显器官捐献的重要性。坚持自愿、无偿原则，依据民法典完善器官捐献的条件和程序。强化对器官捐献的褒扬和引导，加强宣传，组织开展遗体器官捐献人缅怀纪念活动，培育有利于器官捐献的社会风尚；规定患者的配偶、直系血亲等亲属曾经捐献遗体器官的，申请器官移植手术时，同等条件下优先排序。推动器官捐献工作体系建设，加强器官捐献组织网络和协调员队伍的建设和管理。 二是完善器官获取和分配制度，实行全流程管理。规定医疗机构从事遗体器官获取应当具备的条件和开展遗体器官获取服务应当遵循的要求。细化获取器官前的伦理审查要求，规定获取遗体器官的见证程序。完善遗体器官分配制度，规定遗体器官分配应当符合医疗需要，遵循公平、公正、公开原则，通过国务院卫生健康部门建立的分配系统统一分配，要求定期公布遗体器官捐献和分配情况，接受社会监督。建立绿色通道工作机制，高效、畅通运送遗体器官。 三是加强器官移植技术应用管理，保障医疗质量。明确医疗机构和执业医师从事器官移植应当具备的条件，严格准入管理。进一步规范资质审批流程，提升审批质效。定期对医疗机构的器官移植技术临床应用能力进行评估，完善退出机制。规定进行器官移植应当遵守伦理原则和技术临床应用管理规范，采取措施降低风险，保障医疗质量。规定器官移植手术的收费范围，对遗体器官获取服务按照成本收费，要求制定收费原则和标准，加强财务管理。 此外，完善了法律责任有关规定，加大处罚力度，严厉打击器官捐献和移植领域的违法行为。"
民航局发布《人体捐献器官航空运输管理办法》.docx,,,,,2017-01-11,,,民航局网站,,民航局发布《人体捐献器官航空运输管理办法》 2017-01-11 13:58 来源： 民航局网站 字号： 默认 大 超大|打印| 民航目前是我国人体捐献器官跨区域、长距离转运的主要渠道。为进一步规范人体捐献器官航空运输流程，扎实做好服务保障工作，民航局近日发布《人体捐献器官航空运输管理办法》（以下简称《办法》），确保捐献人体器官航空运输流程的通畅。 器官运输是一场生命与时间的赛跑，如何缩短人体捐献器官转运时间、减少器官浪费，是多年来社会各界共同关注的焦点问题。去年5月，国家卫计委、公安部、交通运输部、中国民用航空局、中国铁路总公司、中国红十字会总会联合印发了《关于建立人体捐献器官转运绿色通道的通知》，推动建立人体捐献器官转运绿色通道。此次民航局发布的《办法》，正是落实该《通知》要求，将其纳入法制化、规范化轨道的具体体现。 《办法》的制定以《中国民用航空旅客、行李国内运输规则》和《关于建立人体捐献器官转运绿色通道的通知》为主要依据，主要内容包括7章33条，分为总则、一般运输规定、运输流程、特殊情况处置、保障要求、监督检查、附则等，对人体捐献器官运输流程作全面规范，明确了人体捐献器官作为行李运输的具体要求，明晰了遇到特殊情况时的处置方法，有效界定了航空公司、地面服务代理人、机场、空管等单位在人体捐献器官运输保障工作中的职责，突出了人体捐献器官运输的监督检查。 根据《办法》，人体捐献器官应由人体器官获取组织工作人员放置于运输专用容器中作为手提行李运输，并在运输过程中自行照管。人体捐献器官运输专用容器尺寸超过航空公司允许旅客携带手提行李最大尺寸的，航空公司可要求人体器官获取组织工作人员使用占座行李的方式进行运输。人体捐献器官运输专用容器内含有保存人体捐献器官所必须的液态物品的，不受液态物品航空运输条件的限制，但应满足运输安全要求。对不满足要求的液体物品，航空公司可拒绝运输。 《办法》明确，人体器官获取组织工作人员明确获取人体捐献器官时间并确定所乘航班班次后，应至少在航班起飞前四个小时通过客服电话联系航空公司，咨询航空公司相关规定并提出运输申请，告知航空公司人体捐献器官类型、包装尺寸、涉及的危险品等信息。未在航班起飞前提前四个小时提出申请或提出申请后预计不能按时到达机场的，应主动通过航空公司客服电话说明情况，由航空公司启动应急预案。在飞机舱门关闭前达机场的，由航空公司协调开通人体捐献器官绿色通道，快速办理乘机手续、优先通过安检登机。在飞机舱门关闭后到达机场的，由航空公司负责协调安排改签临近航班。对改签其他航空公司航班的，相关航空公司应全力配合。 需要特别注意的是，按照《办法》要求，人体器官获取组织工作人员所预定的航班发生延误时，航空公司或地面服务代理人应告知人体器官获取组织工作人员航班延误信息，并根据其意愿协助办理乘机或退、改签手续。因天气等不可抗力原因导致航班备降时，航空公司应将实际情况告知人体器官获取组织人员，并将人体捐献器官的运输情况通报备降地地面服务代理人、机场管理机构、空中交通管理部门等相关单位。在航班恢复运行后，应优先保障人体器官获取组织工作人员乘坐的航班。 另外，《办法》还明确了民航各运行主体在人体捐献器官航空运输中的保障要求。航空公司应制定人体捐献器官航空运输程序，明确人体捐献器官运输在申请、订座、办理乘机手续、登机、客舱服务、下机等环节的操作流程以及特殊情况下的应对措施。地面服务代理人及机场管理机构应按照航空公司的人体捐献器官航空运输程序，结合所在机场实际情况制定人体捐献器官运输保障方案，会同航空公司共同开展人体捐献器官运输保障工作。 据了解，2016年5月24日，南航向社会公开了该公司人体捐献器官转运绿色通道保障的24小时应急值班电话（95539）及现场柜台办理、转运保障机制。这是六部委联合下发《通知》后，首家民航企业公开响应开通人体捐献器官转运绿色通道的要求，在实际操作层面对航空运输流程予以简化和标准化，最终实现高效、低风险地运输。
甘肃省设立器官捐献者生活困难家庭救助金.docx,,,,,2016-10-03,,,甘肃日报,,甘肃省设立器官捐献者生活困难家庭救助金 2016-10-03 10:45 来源： 甘肃日报 字号： 默认 大 超大|打印| 记者从前不久举办的2016兰州器官捐献移植论坛上获悉，为了进一步推动我省公民去世后器官捐献工作，省红十字会正式设立甘肃省器官捐献者生活困难家庭救助金，兰大二院先期出资100万元作为启动金。有关方面表示，今后，将有更多的医院和机构加入进来，助力这一公益事业。 器官移植是终末期器官功能衰竭患者最有效的治疗方法，我国每年约有150多万名患者需要接受器官移植，但只有不到1%的患者得以成功移植。为了解决供体来源紧缺问题，中国红十字总会和原卫生部于2010年3月启动了心脏死亡器官捐献试点工作。2013年，我省开始启动这项工作，甘肃省人民医院、兰大一院、兰大二院及解放军兰州总医院被定为试点医院，获准开展人体器官移植。按照国家相关规定，我省人体捐献器官的获取工作必须由这4家医院负责实施，通过器官分配系统自动进行器官分配，以确保捐献人及其捐献器官的溯源性。截至目前，全省办理器官捐献登记的志愿者共有329人，有14人完成捐献，捐献器官41例、角膜6例。 在此次论坛上，围绕“体验关爱延续生命”主题，相关专家解读了器官捐献移植政策，并就当前器官移植现状及焦点问题展开研讨。2008年接受了肝移植手术的患者王亚伟，还自发组织骑行队，在论坛举办当天绕兰州城区骑行，宣传“器官捐献、大爱无边”的理念。省红十字会在兰州市沈家岭福寿人文园修建的“甘肃省红十字遗体器官捐献者纪念园”，也于近期宣布正式启用。（记者 宜秀萍）
生命有约 大爱传递 盐城东台举行人体器官捐献者缅怀活动.docx,,,,,,,,盐城东台市委宣传部,,生命有约 大爱传递 盐城东台举行人体器官捐献者缅怀活动 来源：盐城东台市委宣传部 2024 04/03 4月2日，在盐城东台市西郊陵园公益性公墓——全省县域首个人体器官捐献者纪念园里，一场礼赞生命·倡树文明的人体器官捐献者缅怀活动在这里举行。纪念碑上，镌刻着近年来东台市遗体、器官捐献者的名字。120余名红十字志愿者、医护人员、青少年代表伴着音乐列队缓行，敬献鲜花。 人体器官捐献工作是一项挽救垂危生命、服务医学发展、展现人性光辉、传递人间大爱的高尚事业。去年清明节期间，东台市借助新建立的人体器官捐献者纪念园揭幕之机，推出首届清明文化节，倡导奉献向上生命文化、推动移风易俗和绿色殡葬，在全社会引发良好反响。漫步总占地面积133亩的城市公益性公墓，犹如走进一处融自然与人文于一体的纪念公园。“尊重生命、崇尚自然、文化传承、绿色环保、节地生态”，传统与现代交相辉映，生态与人文和谐统一。开阔的草坪上，绽放着一本本“生命之书”；一棵棵大树下，“生长”着造型别致的“生命之根”。 今年，红十字志愿者们与医疗、教育、社会保障等各界人士相约游园，缅怀延续生命火种、传递大爱情怀的“别样英雄”，传播友爱文明的进步理念。志愿者们发出倡议，勇做移风易俗的模范，争当文明进步的先锋，用友爱拯救即将逝去的生命，给被疾病困扰的家庭带去希望。（董宣 张一峰 刘煜） 【责任编辑：王玥】
西安交大一附院：两天实施5例器官捐献挽救14名患者生命.docx,,,,,,,,,,西安交大一附院：两天实施5例器官捐献挽救14名患者生命 字体： 小 中 大 分享到： 近日，西安交大一附院捐献器官获取与分配科（OPO团队）与各移植学科通力协作，2天内成功实施5例器官捐献，挽救了14名终末期器官衰竭患者的生命，让8名患者重启光明。 4月30日12时38分，宝鸡传来消息，发现一例潜在捐献者（已签署人体器官捐献的志愿者），OPO团队第一时间联系各移植学科开展评估工作，并协调车队、准备物资，等待捐献确认后，即刻出发前往宝鸡，进行器官获取手术。 紧接着，当日13时26分，渭南发现一例潜在捐献者；14时51分，西安发现一例潜在捐献者；17时6分，咸阳地区发现一例潜在捐献者。OPO团队成员不敢松懈，迅速启动器官捐献响应流程，完善各项工作，进行一系列准备后，马不停蹄前往几地，保障器官捐献工作顺利开展。 5月1日14时，西安又上报一例潜在捐献者，OPO团队成员立即到岗待命，积极协调各方资源，竭力为器官捐献者提供科学安全的专业服务，保障器官捐献顺利实施。 短短2天内上演了5幕触动人心的器官捐献温暖场景，这些原本默默无闻的普通人，在生命的最后时刻将爱赠予了社会与他人。他们以自身最珍贵的器官为媒介，将感恩与善意传递给需要救助的患者，让生命以更为崇高、更有意义的方式在世间延续。 在不到30个小时的时间里，西安交大一附院OPO团队与肾移植团队、肝移植团队等密切配合、通力协作、无缝衔接，确保器官由捐献到移植整个过程的顺利实施。（记者王超 张黎娜） 【责任编辑:詹乐游 】
让“生命的礼物”温暖全社会——.docx,,,,,2016-10-16,,,新华社字号：默认,,让“生命的礼物”温暖全社会—— 我国人体器官捐献与移植事业成就综述 2016-10-16 17:27 来源： 新华社字号：默认 大 超大|打印| 新华社北京１０月１６日电(记者 施雨岑、王思北)当生命之旅即将抵达终点时，有一群人，选择将器官无偿捐献，用自己即将熄灭的生命之火，去点亮另一个濒临绝望的生命。 为了更好地传递这份“生命的礼物”，近年来，我国不断完善相关法律法规，构建人体器官捐献体系，规范人体器官获取与分配。目前，我国人体器官年捐献数量位居亚洲第一位、世界第三位，年器官移植手术量仅次于美国，位居世界第二位，移植物／受者生存率等指标已居国际领先水平。 为传递“生命的礼物”提供制度保障 “我决定，在离开这个世界的时候，捐献我所有可以捐献的器官，去帮助那些有需要的人们。” ２０１６年清明节前夕，在全国人体器官捐献缅怀纪念暨宣传普及活动上，韩红含泪讲述了自己的心路历程。她的孩子在接受肝脏移植手术后重获新生，“没有人能比我更明白失而复得的心情”。庆幸、感恩的同时，她决定从受助者转变成施助者，让“生命的礼物”继续传递。 韩红和她的孩子是我国人体器官捐献与移植事业受益人群的一个缩影。传递这份沉甸甸的“生命的礼物”，离不开一系列法律法规和有关政策对这项工作的“保驾护航”。 ——２００７年，《人体器官移植条例》颁布实施，明确我国人体器官捐献与移植遵循自愿无偿、知情同意、器官科学公平分配等原则，标志着我国人体器官捐献与移植工作走上了法制化和规范化的轨道。 ——２０１１年，刑法修正案（八）规定：“组织他人出卖人体器官的，处五年以下有期徒刑，并处罚金；情节严重的，处五年以上有期徒刑，并处罚金或者没收财产。” ——２０１４年，《中国人体器官捐献志愿登记管理办法（试行）》发布，对人体器官捐献志愿登记者的权利和义务、登记流程等进行了明确。 数据显示，截至２０１６年９月３０日，我国累计实现公民逝世后器官捐献８８６６例，捐献大器官近２．５万个。其中，截至２０１６年９月３０日，２０１６年捐献２９５０例，与２０１５年同期相比增加５０％，超过２０１５年全年捐献总数。 让“生命的礼物”不再停留于意愿 作为医学科技领域取得的重大进展之一，人体器官移植技术为许多终末期脏器衰竭患者带来了重生的希望。然而，由于过去缺乏规范的、符合伦理学要求的公民逝世后自愿捐献器官的管理体系，一些有捐献意愿的人捐献无门。 针对这种情况，２０１０年，我国启动了公民逝世后器官捐献试点工作。在取得初步成效后，这项工作于２０１３年２月在全国范围内推开。 ２０１２年７月，中国红十字会总会设立中国人体器官捐献管理中心，主要负责参与全国人体器官捐献的宣传动员、报名登记、捐献见证、救助激励、缅怀纪念及信息平台建设等相关工作。人体器官捐献工作在国家层面走上了有机构、有人员、有财政支持的规范化轨道。 ２０１６年５月，我国建立了多部门协作的人体捐献器官转运“绿色通道”，将因器官转运环节对器官移植患者的质量安全影响减少到最低程度，让“生命的礼物”的传递之路更加高效、顺畅。 国家卫生计生委主任李斌表示，经过长期不懈的努力，中国在保障人民群众器官移植医疗需要的基础上成功实现了器官来源的转型，摸索出了一条符合我国国情的器官捐献与移植道路。 世界卫生组织官员评价说，中国近几年器官捐献移植事业的发展进度和决心令人鼓舞，实施了多项措施以保障器官捐献制度的透明、公平和可溯源性，成就有目共暏。对于国际上个别别有用心的人对中国有关器官移植数量和器官来源的无端揣测和指责，世界卫生组织和国际器官移植组织均予以了驳斥。 科学、公平分配“生命的礼物” 据估算，我国每年因终末期器官衰竭等待器官移植的患者约有３０万人，而每年器官移植数量仅约１万例。 为了确保有限且珍贵的捐献器官能够科学、高效、公平分配，２０１３年８月，国家卫生计生委制定《人体捐献器官获取与分配管理规定（试行）》，要求各省成立人体器官获取组织，划定服务范围，规范器官获取工作，同时使用中国人体器官分配与共享计算机系统进行分配。 中国人体器官分配与共享计算机系统相关负责人王海波介绍说，该系统以患者的医疗状况紧急程度和器官匹配程度等医学需求作为器官分配的唯一准则，实施自动器官分配和共享，向国家和地方监管机构提供全程监控，最大限度排除人为干预。 据中国人体器官分配与共享计算机系统统计，２０１５年我国完成器官捐献２７６６例，捐献大器官７７８５个，超过２０１３年与２０１４年捐献数量的总和。２０１６年上半年，我国器官捐献大器官５０２９个，捐赠案例较去年同期增长５０％。自２０１３年９月１日正式启用以来，通过这项系统自动分配的公民逝世后捐献器官达１．７万个。 捐赠案例的增长，意味着公众对自愿捐献移植器官得到公平分配的认可。中国人体器官捐献与移植委员会委员叶啟发表示，中国人体器官分配与共享系统将逐渐发挥作用，这有利于加快器官捐献的公益化进程。 “全国公民自愿捐献器官的工作已经全面铺开，已带来明显而持续的增长。”叶啟发说，相信器官捐献往后会越来越普及，更多病人会因此受益。
贵州省第1000例人体器官捐献在遵义市实现捐献.docx,,,,,2024-01-17,,,遵义日报,,贵州省第1000例人体器官捐献在遵义市实现捐献 2024-01-17 08:42:01  来源：遵义日报 1月12日，在遵义医科大学附属医院，我市一位脑死亡患者成功捐献人体器官，这是贵州省第1000例人体器官实现捐献、遵义市第372例人体器官实现捐献。 据了解，器官捐献者小严，在遵义市红十字会协调员的见证下，成功捐献肝脏、双肾。 器官捐献和移植是挽救生命垂危患者、服务医学发展、弘扬人间大爱、彰显社会文明的高尚事业。自2012年遵义市遗体和人体器官捐献工作开展以来，在社会各界的关注支持下，很多爱心人士纷纷登记成为遗体和人体器官志愿捐献者。截至目前，我市累计登记成为遗体和人体器官志愿捐献者有39000余人。 “随着社会文明的不断进步发展，遗体和人体器官捐献得到社会各界越来越多人认可。我们向捐献者及其家属的大爱无疆、乐于助人、勇于奉献精神表示崇高的敬意。正是由于他们的支持，给接受捐赠的患者以重生的希望。”遵义市红十字会器官捐献协调员杜畅说，希望更多的人加入遗体和人体器官捐献志愿者队伍。（记者 俞晖 雷宇 实习生 向思好） [责任编辑:吴雨 ]
重庆人体器官捐献纪念园启用 纪念墓碑上镌刻3020位捐献者姓名.docx,,,,,2019-04-06,,,新华社,,重庆人体器官捐献纪念园启用 纪念墓碑上镌刻3020位捐献者姓名 2019-04-06 15:52 来源： 新华社 字号：默认 大 超大|打印| 新华社重庆4月6日电（记者 周文冲）记者从重庆市红十字会获悉，重庆市人体器官捐献纪念园日前正式启用，鲜花掩映中的纪念墓碑上镌刻了3020位捐献者的名字。 新园落成正值清明，重庆市红十字会在园内举行了缅怀纪念活动。祈福墙上，一条条红丝带寄托了捐献者家属的哀思。纪念园位于璧山区河边镇人文纪念公园内，核心纪念区及配套区域占地近1500平方米。纪念园正中，竖立着一座人体器官捐献纪念碑，两旁鲜花掩映中的纪念墓碑上镌刻着捐献者的名字。 重庆市红十字会相关负责人介绍，纪念园已镌刻了3020位捐献者的姓名，还有1500余名捐献者只是默默奉献，没有在墓碑上留下名字。 重庆市红十字会的数据显示，近年来，社会对遗体器官捐献的接受度逐步提高。截至2019年3月20日，重庆市登记遗体（角膜）捐献志愿者18979人，实施遗体（角膜）捐献4565例，已让2887位眼疾患者重见光明。全市器官捐献志愿者登记9112人，已实施431例，捐献器官1270个，成功挽救了1171名器官衰竭患者的生命。
重庆出台器官捐献者丧葬惠民政策.docx,,,,,2016-12-06,,,重庆日报,,重庆出台器官捐献者丧葬惠民政策 2016-12-06 09:35 来源： 重庆日报 字号： 默认 大 超大|打印| 记者12月5日获悉，为贯彻执行《重庆市遗体和人体器官捐献条例》，市民政局、市财政局近日联合下发了《关于免除人体器官捐献人基本丧葬费用的通知》，明确了该项惠民政策的对象为我市行政区域内自愿、无偿捐献人体器官、角膜的捐献人，符合条件的捐献人可以享受1500元以内的基本丧葬免费服务。 捐献者家属凭医疗卫生机构及公安部门出具的死亡证明和市红十字会出具的人体器官、角膜捐献证明，向当地殡仪馆提出申请，并提交丧事承办人有效身份证原件及复印件、捐献人有效身份证原件和户口簿原件及复印件，就可直接享受免费服务。《通知》还明确了捐献人为集体户口或在渝大中专院校全日制学生、驻渝部队现役军人、外来务工人员及临时来渝人员的，均可享受该项惠民政策的免费服务。 据悉，我市已有角膜捐献志愿者8593人，实施角膜捐献1523人，已使2099名患者重见光明；已成功实施器官捐献141例，捐献403个器官，挽救了348个器官衰竭患者的生命。（记者 张莎）
